regid,smiles,Pgood
S11366,O=C1NC(=O)C2=C(N1)NC(=O)N=N2,0.99
S11367,O=C1NC(=O)C2=C(N1)N=NC(=O)N2,0.99
S11372,O=C1NC2=C(N=NC(=O)N2)C(=O)O1,0.69
S11373,O=C1NC2=C(NC(=O)N=N2)C(=O)O1,0.68
S11388,O=C1NC2=C(NC=CC2=O)N=N1,0.92
S11389,O=C1NC2=C(N=N1)C(=O)C=CN2,0.92
S1139,O=C1ON=Cn2nccc12,0.54
S11392,O=C1NC2=C(NC=NC2=O)N=N1,0.9
S11393,O=C1NC2=C(N=N1)C(=O)N=CN2,0.9
S11396,O=C1Nc2nccnc2N=N1,0.98
S11398,O=C1Nc2nncnc2N=N1,0.96
S11399,O=C1Nc2ncnnc2N=N1,0.96
S114,O=C1N=CSC=N1,0.97
S1140,O=C1ON=Cc2ccnn12,0.62
S11402,O=C1NC2=C(N=CNC2=O)N=N1,0.94
S11403,O=C1NC2=C(N=N1)C(=O)NC=N2,0.94
S1141,O=C1ON=C2C=NNC2=C1,0.81
S11411,O=C1NC2=C(N=N1)C(=O)OC=N2,0.83
S1142,O=C1ON=C2NN=CC2=C1,0.81
S1143,O=C1Oc2cn[nH]c2C=N1,0.56
S1144,O=C1Oc2[nH]ncc2C=N1,0.57
S1145,O=C1Oc2ccnn2C=N1,0.92
S11453,O=C1NC2=C(N=N1)C(=O)C=CO2,0.88
S11457,O=C1NC2=C(N=N1)C(=O)N=CO2,0.82
S11460,O=C1NC2=C(N=N1)C(=O)C=CS2,0.78
S11464,O=C1NC2=C(NN=CC2=O)N=N1,0.56
S11465,O=C1NC2=C(N=N1)C(=O)C=NN2,0.57
S1147,O=C1OC=C2NN=CC2=N1,0.9
S1148,O=C1OC=C2C=NNC2=N1,0.9
S11496,O=C1NC(=O)C2=C(NC(=O)N=N2)O1,0.8
S115,O=C1NN=CN=N1,0.95
S1151,O=C1SN=Cn2nccc12,0.92
S1152,O=C1SN=Cc2ccnn12,0.87
S11547,O=C1ON2C(=O)N=NC=C2C(=O)O1,0.53
S1156,O=C1Sc2[nH]ncc2C=N1,0.91
